power,80BF3BC4
mute,80BF39C6
1,80BF49B6
2,80BFC936
3,80BF33CC
4,80BF718E
5,80BFF10E
6,80BF13EC
7,80BF51AE
8,80BFD12E
9,80BF23DC
help,80BFA15E
0,80BFE11E
radio,80BF817E
vol+,80BFBB44
vol-,80BF31CE
info,80BF41BE
back,80BF43BC
ch+,80BF19E6
ch-,80BFE916
left,80BF9966
up,80BF53AC
right,80BF837C
bottom,80BF4BB4
ok,80BF738C
menu,80BF11EE
epg,80BF619E
games,80BF59A6
interactive,80BFD926
language,80BFB946
messages,80BF7986
account,80BFC33C
promo,80BF936C
fav,80BFA35C
red,80BFC13E
green,80BF5BA4
yellow,80BFB34C
blue,80BF03FC
