power,6F948B7
fav,6F930CF
active,6F918E7
radio,6F96897
vod,6F93AC5
mosaic,6F9F00F
exit,6F9DA25
help,6F9629D
up,6F9FA05
left,6F99A65
right,6F91AE5
down,6F92AD5
ok,6F906F9
back,6F99867
menu,6F9E21D
vol+,6F958A7
vol-,6F97887
ch+,6F9D827
ch-,6F9F807
info,6F94AB5
mute,6F908F7
refresh,6F9CA35
red,6F9C837
green,6F9A857
yellow,6F9C639
blue,6F9E817
1,6F9807F
2,6F940BF
3,6F9C03F
4,6F920DF
5,6F9A05F
6,6F9609F
7,6F9E01F
8,6F910EF
9,6F9906F
*,6F98877
0,6F900FF
#,6F9C23D
